indice,ADDRESS,CONSUMER_GOOD,DATE,EVENT,LOCATION,NUMBER,ORGANIZATION,OTHER,PERSON,PHONE_NUMBER,PRICE,WORK_OF_ART
606,,0.03575944900512695,0.0,0.008382788300514222,0.008663733722642064,0.0,0.017838300257507298,0.011521080043166876,0.01326749050481753,,,0.008688037283718586
607,,0.029073103951911133,0.0,0.020586703748752672,0.026628244513024885,0.0,0.008770417654886842,0.019673773047068844,0.011328453663736582,,,0.00953082460910082
608,,,,0.06607524026185274,0.02387760765850544,0.0,0.05300311893224716,0.03175119150962148,0.05379164622475704,,,
609,,0.01869848370552063,,0.007414011698630121,,0.0,0.006466148964439829,0.009138662405815479,0.013531142355142427,,,0.01229467395959156
610,,0.014525467529892921,0.0,0.007786541094031671,0.008128327317535877,0.0,0.004714551355896724,0.0056726400158368055,0.005730522259210165,,,0.009465597686357796
611,,0.008496654685586691,0.0,0.014857870726180928,0.011387054808437824,0.0,0.0064521043095737704,0.010598903090306899,0.013899621590971946,,,0.013558275531977415
612,,,,0.02711982714633147,0.02344087511301041,0.0,0.0182708352804184,0.0500929711593522,0.05088344908186367,,,
613,,,,0.015719052918843533,0.011092590109910816,0.0,0.010647950560918875,0.00995680741279533,0.00974602570446829,,,
614,,0.0111618023365736,,0.014783030492253602,0.020766405388712883,0.0,0.014268937148153782,0.018930670560190554,0.024644055217504502,,,
615,,0.007338358089327812,0.0,0.012268507454012121,0.019429352988178532,0.0,0.014888191223144531,0.010438093957914547,0.021057771718395606,,,
616,,0.010342761874198914,0.0,0.011237701001976217,0.0240545921260491,0.0,0.01464031869545579,0.010984177333547882,0.015918593357006707,,,
617,,,,0.012662180000916123,0.011355164460837841,0.0,0.012316306121647358,0.013086585738208322,0.01314497519941891,,,0.009340020245872438
618,,,,,,0.0,0.016206051921471953,0.030921379725138348,0.030203464751442272,,,0.011841882951557636
619,,0.008458852767944336,,0.013559925656479139,0.018955318878094356,0.0,0.021610107272863388,0.013120277452149562,0.011725308034907688,,,
620,,0.024272448383271694,,0.01601120997220278,0.016632197997890986,0.0,0.020146898459643126,0.012985027818517252,0.014894565877815088,,,0.008051646873354912
621,,0.014644862152636051,,0.013600422069430351,0.031070228355626266,0.0,0.024637241382151842,0.02191546422086264,0.025141387143068843,,0.0,0.020381561014801264
622,,,,0.01781621730575959,0.009878582321107388,0.0,0.010752849591275057,0.015350033011701372,0.023925201613456012,,,
623,,,0.0,0.009477636565200308,0.020639786568398658,0.0,0.0133235614746809,0.013189902412705123,0.010710426436906511,,,0.012068449519574642
624,,,0.0,0.033157908357679844,0.03229947884877523,0.0,0.033616395046313606,0.03514440091592925,0.05487907771021128,,,
625,,0.005798229482024908,,0.013463822126920735,0.007143761124461889,0.0,0.013370290797735964,0.012671899149250803,0.014935977291315794,,,0.007172399433329701
626,,,,0.008275447817715375,0.012224722653627394,0.0,0.011607893470985195,0.007162041432571178,0.008620855720330249,,,0.00985129092199107
627,,0.008298771611104408,,0.015066674584522844,0.006723826006054878,0.0,0.010908458433631394,0.012245718279461327,0.00979783616371845,,,0.0066986759193241605
628,,0.02436625212430954,,0.02303977757692337,,0.0,0.0275227683596313,0.012453612250586351,0.016947571355849504,,,
629,,,,0.01986880856566131,0.019039055332541466,0.0,0.02155916268626849,0.01985238791288187,0.016241465415805578,,,0.01200853226085504
630,,,,0.028218962252140045,0.02220621146261692,0.0,0.0442699478007853,0.03787951228710321,0.03851263672113418,,,
631,,,,0.009425709334512552,0.004020544338143534,0.0,0.008248855359852314,0.007345919743574296,0.008454090828308836,,0.0,0.00869382152126895
632,,0.014135394711047413,,0.010366745758801699,0.011144676245748995,0.0,0.0126894007747372,0.02399766625946059,0.01932532384991646,,,
633,,0.004614334960933775,,0.008016441142759644,0.006174525051998596,0.0,0.009893161454237997,0.007409160150148507,0.007097292287079127,,,0.007408764446154236
634,,0.01251040305942297,0.0,0.013050462740163008,0.011635055765509605,0.0,0.022361224206785362,0.019337842778231088,0.020927809385789767,,,0.02400249009951949
635,,,0.0,0.007633178766506414,0.006535253614525904,0.0,0.006886911287438124,0.008414901121376226,0.009484197043122785,,,0.005536906886845827
636,,,,0.07845522587498029,0.09544165929158528,0.0,,0.04087438434362412,0.05536786466836929,,,0.030875474214553836
637,,0.00581269757822156,,0.013001160272820429,0.010508112609386444,0.0,0.012493281026503869,0.009284193394705653,0.021142386432204927,,,0.013433519595613083
638,,0.004585482180118561,,0.006911327648493979,0.007496609373695471,0.0,0.005261027254164219,0.008099118487850304,0.007651273222444088,,,0.004074192605912685
639,,0.006622204557061195,,0.01018571592349973,0.008018393302336335,0.0,0.007537436412854327,0.01068989914364931,0.012166163863857155,,,0.008053569123148918
640,,0.012916917447000742,,0.020622843876481056,0.010401906911283731,0.0,0.015410175081342459,0.016233573401612893,0.017842835700139403,,,0.025644451069335144
641,,0.01933484710752964,,0.02303563873283565,0.06147327646613121,0.0,0.03472838426629702,0.029807120747864246,0.01769578205421567,,,0.017078528180718422
642,,0.007848270237445831,,0.008975152391940355,0.01479328953428194,0.0,0.0071262022746460775,0.01202061161508455,0.01097156111658974,,,0.016569844580122402
643,,0.0109809092245996,0.0,0.01594836628064513,0.01478061012246392,0.0,0.013608648707824094,0.01269463814216955,0.009486722397721477,,,
644,,0.027808908373117447,,,0.06505705416202545,0.0,0.027054712176322937,0.031767721055075526,0.06328965444117785,,,
645,,0.007265212945640087,0.0,0.0075565094760219964,0.009944416210055351,0.0,0.002969944616779685,0.006294118405573748,0.006549226754206292,,,0.008997681809382306
646,,,0.0,0.01490924134850502,0.012183994986116886,0.0,0.023958561941981312,0.016368602617428854,0.02289299653576953,,0.0,0.012192982248961927
647,,0.007878385484218597,0.0,0.006909253541380167,0.009667460806667805,0.0,0.010158699844032526,0.011235360416673845,0.01698223991496932,,,0.017191572487354277
648,,,0.0,0.015744892569879692,0.0072235120460391045,0.0,0.012384485298146805,0.014705224777571857,0.01626197496233018,,,0.01076065624753634
649,,,,0.026262310998780385,0.01921776445981647,0.0,,0.016026440721291762,0.024500903952866793,,,
650,,,,0.184247761964798,,0.0,,0.22332345445950827,0.14578187465667725,,,
651,,0.007897492498159409,,0.013292703591287137,0.014913503685966134,0.0,0.0071133590924243135,0.014883043133609351,0.014384100465880087,,,0.011109994724392893
652,,0.012625528033822775,,0.009936713497154415,0.014568605984095484,0.0,0.010158454533666372,0.010992535515814214,0.013847285288978706,,,
653,,0.025880802422761917,,0.02730162814259529,0.05514957942068577,0.0,,0.04239883590489626,0.0603980477899313,,,0.024260951206088063
